Date,County Name,Partially Vaccinated,Fully Vaccinated,First Booster Dose,Second Booster Dose
05/10/2021,Wayne,8,39,,
12/21/2020,Crawford,578,,,
02/07/2022,Northumberland,17,24,43,
05/12/2022,Huntingdon,5,5,11,64
11/02/2021,Cameron,,,26,
12/21/2020,Elk,90,,,
01/26/2021,Lycoming,371,245,,
12/21/2020,Fayette,181,,,
12/21/2020,Forest,7,,,
12/21/2020,Franklin,41,,,
12/21/2020,Fulton,2,,,
12/21/2020,Greene,11,,,
10/18/2021,Schuylkill,55,54,102,
10/06/2021,Clearfield,31,30,260,
12/21/2020,Jefferson,126,,,
12/21/2020,Juniata,13,,,
05/27/2022,Centre,25,21,61,172
02/15/2022,Lackawanna,40,53,90,
12/21/2020,Lawrence,74,,,
07/08/2021,Tioga,9,26,,
02/01/2022,Luzerne,113,130,186,
01/26/2022,Huntingdon,34,15,36,
12/22/2021,Lancaster,621,237,1656,
12/21/2020,Mercer,175,,,
12/21/2020,Mifflin,43,,,
04/08/2022,Somerset,6,15,16,48
12/21/2020,Montour,42,,,
01/20/2022,Lancaster,305,254,769,
12/21/2020,Perry,12,,,
12/21/2020,Pike,8,,,
12/21/2020,Potter,32,,,
12/21/2020,Schuylkill,37,,,
04/27/2021,Beaver,848,794,,
09/17/2021,Indiana,42,62,9,
12/21/2020,Sullivan,4,,,
12/21/2020,Susquehanna,8,,,
12/21/2020,Tioga,81,,,
01/08/2022,Wyoming,21,15,24,
12/21/2020,Venango,156,,,
12/21/2020,Warren,11,,,
06/25/2021,Lancaster,314,797,,
12/21/2020,Wayne,16,,,
08/05/2021,Mckean,16,12,,
12/28/2021,Adams,112,84,292,
05/20/2022,Greene,3,5,4,28
12/22/2020,Armstrong,109,,,
12/22/2020,Bedford,21,,,
03/26/2021,Lebanon,526,394,,
12/22/2020,Blair,354,,,
12/22/2020,Bradford,89,,,
06/15/2021,Butler,81,245,,
12/22/2020,Butler,372,,,
12/22/2020,Lehigh,962,,,
12/22/2020,Cameron,6,,,
12/22/2020,Clarion,77,,,
12/22/2020,Clearfield,235,,,
12/22/2020,Clinton,41,,,
12/22/2020,Columbia,72,,,
12/22/2020,Crawford,101,,,
08/30/2021,Luzerne,287,352,144,
04/25/2022,Clarion,1,3,3,7
12/22/2020,Elk,108,,,
12/22/2020,Forest,9,,,
12/22/2020,Fulton,4,,,
12/22/2020,Greene,20,,,
04/26/2022,Monroe,28,31,54,260
12/22/2020,Indiana,119,1,,
10/05/2021,Adams,45,57,112,
12/22/2020,Juniata,12,,,
04/06/2021,Northumberland,199,533,,
12/22/2020,Lawrence,125,,,
03/19/2022,Union,2,2,,
05/07/2021,Snyder,147,191,,
12/22/2020,Lycoming,184,,,
12/22/2020,Mckean,31,,,
09/28/2021,Perry,28,27,16,
12/22/2020,Mifflin,49,,,
12/22/2020,Monroe,156,,,
11/08/2021,Pike,53,18,102,
12/22/2020,Montour,74,,,
10/30/2021,Erie,138,64,451,
02/23/2021,Chester,1260,1650,,
12/22/2020,Perry,29,,,
04/01/2021,Columbia,501,144,,
12/22/2020,Pike,30,,,
12/22/2020,Potter,29,,,
02/05/2022,York,128,183,192,
12/22/2020,Snyder,8,,,
06/22/2022,Mckean,3,3,5,28
12/22/2020,Sullivan,3,,,
12/22/2020,Tioga,48,,,
04/15/2022,Dauphin,45,62,63,281
12/22/2020,Venango,108,,,
12/22/2020,Warren,83,,,
07/31/2021,Montgomery,432,323,,
12/22/2020,Wayne,75,,,
06/05/2022,Armstrong,1,4,1,13
12/22/2020,Wyoming,16,,,
10/08/2021,Bradford,38,57,82,
05/03/2022,Mifflin,9,2,9,47
12/23/2020,Adams,56,,,
04/29/2022,Venango,6,4,9,28
06/20/2022,Potter,2,,2,
12/23/2020,Bedford,42,,,
06/14/2021,Cumberland,154,500,,
12/23/2020,Blair,199,,,
05/29/2022,Clearfield,3,,,6
10/20/2021,Perry,23,19,32,
05/13/2021,Union,103,77,,
12/23/2020,Cambria,236,,,
12/23/2020,Cameron,6,,,
06/07/2022,Perry,2,2,7,11
01/09/2021,Out-of-State,795,172,,
12/23/2020,Clarion,100,,,
12/23/2020,Clearfield,65,,,
12/23/2020,Clinton,22,,,
12/23/2020,Columbia,107,,,
10/12/2021,Philadelphia,1287,1324,1933,
05/02/2021,Allegheny,387,966,,
03/06/2021,Adams,148,178,,
12/23/2020,Elk,19,,,
04/06/2021,Clearfield,782,525,,
12/23/2020,Fayette,131,,,
01/11/2022,Forest,4,4,8,
06/22/2022,Fulton,,1,,
12/23/2020,Fulton,23,,,
12/23/2020,Greene,46,,,
12/23/2020,Jefferson,74,,,
12/23/2020,Juniata,11,,,
12/23/2020,Lebanon,87,,,
12/06/2021,Fayette,133,74,308,
05/14/2021,Lebanon,306,639,,
12/23/2020,Lycoming,107,,,
12/23/2020,Mckean,67,,,
12/23/2020,Mercer,118,,,
11/11/2021,Philadelphia,2555,1105,4011,
08/20/2021,Wayne,33,33,13,
12/18/2021,Mercer,61,31,149,
12/23/2020,Northumberland,68,,,
03/17/2021,Indiana,176,127,,
06/19/2022,Bradford,,2,1,1
12/23/2020,Pike,23,,,
12/23/2020,Potter,36,,,
08/18/2021,Adams,86,101,15,
12/23/2020,Snyder,26,,,
12/23/2020,Somerset,133,,,
12/23/2020,Sullivan,3,,,
12/23/2020,Susquehanna,29,,,
12/23/2020,Tioga,88,,,
12/23/2020,Venango,79,,,
12/23/2020,Warren,154,,,
04/29/2021,Monroe,717,918,,
12/23/2020,Wayne,58,,,
12/23/2020,Wyoming,22,,,
